Date,ca,fr,ge,it,jp,uk,us
2003/1/2,2.573635,2.747145,5.790717,2.308201,-0.943505,0.848019,3.296573
2003/1/3,0.954365,0.225262,0.033972,0.602298,0.012482,0.295622,-0.033330
2003/1/6,1.608301,1.464002,2.538144,1.500286,2.582230,0.472653,2.272284
2003/1/7,-0.646058,-2.058904,-1.806455,-1.790239,-1.790900,-1.294592,-0.635741
2003/1/8,-1.600249,-2.560138,-4.173460,-1.386237,-1.672348,-1.275576,-1.464613
2003/1/9,1.297138,2.538919,2.242538,1.933259,0.327987,0.723417,1.914067
2003/1/10,1.080692,0.393987,0.558725,0.064414,-0.238545,1.132485,0.043904
2003/1/13,0.566318,0.130949,0.895125,0.530754,0.498956,-0.779989,-0.142700
2003/1/14,0.257522,0.622968,1.540061,0.380274,1.595103,0.164250,0.642784
2003/1/15,0.019149,-1.267076,-1.461169,-0.843654,1.287279,-1.728357,-1.461746
2003/1/16,0.286124,-0.056168,0.073775,0.433175,0.036479,-0.019752,-0.418884
2003/1/17,-0.977972,-1.844734,-3.666709,-2.390041,0.462391,-0.866368,-1.441705
2003/1/20,-0.213491,-1.135780,-0.692391,-1.248802,-1.287926,-1.677135,0.000000
2003/1/21,-0.889839,-0.980659,-0.780824,-1.363315,0.934891,-1.045555,-1.552308
2003/1/22,0.493990,-1.922640,-2.185557,-1.240005,-0.862177,-1.315468,-1.014704
2003/1/23,0.758226,-0.105429,0.884027,0.082653,2.187056,-0.865672,1.034990
2003/1/24,-0.925970,-0.343530,-2.973489,-0.535274,-0.881095,0.000951,-2.969011
2003/1/27,-1.903253,-3.664454,-2.651981,-1.667254,-2.282321,-3.370092,-1.665709
2003/1/28,-0.256735,0.203328,1.013502,0.260615,-0.771570,0.670406,1.307882
2003/1/29,0.717238,1.762463,1.595891,1.491440,-1.462111,0.359542,0.691213
2003/1/30,-0.820570,1.815998,-1.408750,0.799756,-0.912103,2.566009,-2.318163
2003/1/31,0.270563,0.633140,1.894517,0.551219,-0.964978,-0.377769,1.337424
2003/2/3,1.226592,0.763097,0.219228,0.971850,1.395201,2.881032,0.518439
2003/2/4,-0.655663,-1.983477,-3.111185,-1.574803,1.132108,-2.182988,-1.444439
2003/2/5,-0.526775,0.194624,2.971320,1.215160,0.129731,2.258067,-0.547216
2003/2/6,-0.559445,-1.679227,-2.737513,-1.222553,-0.583101,-2.560447,-0.629242
